symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
NQU3,-2,0,0.25,17923520585,17923520613,1,15371.75,15372.50,$15.00,08/29/2023 12:20:44,08/29/2023 12:21:06,21sec
NQU3,-2,0,0.25,17923520585,17923520621,1,15371.75,15372.50,$15.00,08/29/2023 12:20:44,08/29/2023 12:21:06,21sec
NQU3,-2,0,0.25,17923520585,17923520629,1,15371.75,15372.50,$15.00,08/29/2023 12:20:44,08/29/2023 12:21:07,22sec
NQU3,-2,0,0.25,17923520585,17923520645,18,15371.75,15377.50,"$2,070.00",08/29/2023 12:20:44,08/29/2023 12:21:25,41sec
NQU3,-2,0,0.25,17923520676,17923520656,24,15372.50,15373.00,$240.00,08/29/2023 12:22:21,08/29/2023 12:21:43,37sec
NQU3,-2,0,0.25,17923520706,17923520690,3,15372.50,15373.00,$30.00,08/29/2023 12:23:34,08/29/2023 12:22:39,54sec
NQU3,-2,0,0.25,17923520714,17923520690,1,15372.50,15373.00,$10.00,08/29/2023 12:23:34,08/29/2023 12:22:39,55sec
NQU3,-2,0,0.25,17923520722,17923520690,20,15372.75,15373.00,$100.00,08/29/2023 12:23:34,08/29/2023 12:22:39,55sec
NQU3,-2,0,0.25,17923520752,17923520736,15,15387.00,15378.00,"$(2,700.00)",08/29/2023 12:26:45,08/29/2023 12:25:23,1min 22sec
NQU3,-2,0,0.25,17923520760,17923520736,9,15387.00,15378.00,"$(1,620.00)",08/29/2023 12:26:45,08/29/2023 12:25:23,1min 22sec
NQU3,-2,0,0.25,17923520783,17923520771,24,15388.00,15388.50,$240.00,08/29/2023 12:27:11,08/29/2023 12:27:03,8sec
NQU3,-2,0,0.25,17923520810,17923520794,2,15388.25,15386.25,$(80.00),08/29/2023 12:27:41,08/29/2023 12:27:19,21sec
NQU3,-2,0,0.25,17923520818,17923520794,22,15388.50,15386.25,$(990.00),08/29/2023 12:27:41,08/29/2023 12:27:19,21sec
NQU3,-2,0,0.25,17923520865,17923520829,24,15380.50,15384.00,"$1,680.00",08/29/2023 12:28:45,08/29/2023 12:28:15,30sec
